

,,,,"Printed on Wednesday, October 1, 2025",,,9:41:02 AM,,1/ 1
Management Summary
"Tuesday, September 30, 2025"
,"L030 - Rethink Self Storage - Mt. Holly, 108 Rush St, Mt Holly NC 28120"
,Daily,Month-To-Date,Fiscal YTD,,,"As of Tuesday, September 30, 2025"
From,Sep-30-2025,Sep-01-2025,Jan-01-2025,Occupancy,,Units,%Units,Area,%Area
To,Sep-30-2025,Sep-30-2025,Sep-30-2025,Occupied,,217,76.40%,"23,364",57.50%
Deposits,,,,Vacant*,,65,22.90%,"17,080",42,%
Cash,0,"-9,700.00","-5,550.00",Unrentable,,2,0.70%,180,0.4,%
Check,0,0,0,Complimentary,,1,,100
ACH Debit,0,"11,434.00","88,845.50",Total,,284,100.00%,"40,624",100.00%
Debit Card,0,0.00,0
Charge Card,173,"23,697.18",#######,Waiting List,1,Autobilled**,,178
SubTotal,173,"25,431.18",#######,Overlocked**,0,Insurance**,,0,Per Area
Misc Deposit,0,"-9,700.00","-9,700.00",Gross Potential Rates,1,,"36,176",100.00%,,0.89
Total,173,"15,731.18",#######,Gross Unrentable Unit Rates,,,163,0.50%,,0.91
Payment Receipts,,,,Gross Vacant Unit Rates,,,"14,349",39.70%,,0.84
,,,,Gross Occupied Unit Rates,,,"21,664",59.90%,,0.93
,(Note: Receipts will only match deposits made within the same period.
,,,,Gross Complimentary Unit Rates,,,75,0.20%,,0.75
,Deposits are based on fiscal dates. Receipts are calendar based.),,,Actual Occupied Unit Rates,2,,"23,202",64.10%,,0.99
Rent,140,"30,008.37",#######,Occupied Rate Variance,,,"-1,538",-4.30%,,-0.07
Recurring,13.5,"2,224.47","16,628.85",,,3
,,,,Effective Rate after Concessions,,,"18,840",52.10%,,0.81
Late Fee,0,"1,192.55","4,660.15"
NSF Fee,0,0,0,Unpaid Charges (Current tenants)
Admin Fee,9.27,550,"4,225.00",Days,Amount,Units,%Units,%GrossPot,%Actual
Insurance,0,0,12,0-10,120.00,0,0,0.3,,0.5
Other,10.23,"1,125.79","9,900.93",11-30,"1,815.35",6,2.8,5,,7.8
Misc Deposit,0,"-9,700.00","-9,700.00",31-60,907.00,1,0.5,2.5,,3.9
Security Deposit,0,30,30,61-90,368,0,0,1,,1.6
Merchandise,0,0,0,91-120,304,0,0,0.8,,1.3
Tax 1,0,0.00,0,121-180,196,2,0.9,0.5,,0.8
Tax 2,0,0,0,181-360,0.00,0,0,0,,0
Total,173,"25,431.18",#######,>360,0,0,0,0,,0
,,,,Total,"3,710.35",9,4.1,10.2,,16
Collections,(Receipts collected towards rent and late fees.)
,,,,Delinquency (Current tenants >30 days
Prepaid Rent,140,"1,284.50"
Current Rent,0,"28,491.87",,Rent,805.00,3,1.4,2.2,,3.5
Past Due Rent,0,232.00,,Other,970.00
,,,,Taxes,0.00
Total,140,"30,008.37"
,,,,Total,"1,775.00"
Current Late Fee,0,"1,162.25",,Liabilities,,Units,Amount
Past Due Late Fee,0,30.3,,Prepaid Rent,,17,"1,234.00"
Total,0,"1,192.55",,Prepaid Insurance,,0,0.00
,,,,Prepaid Recurring Charges,,12,107.47
NSF Reversals,0,2,3,Security Deposits (Cash),,5,30.00
,0,"9,700.00","10,783.14"
,,,,Rent Last Change,Units,,,Rent Variances,Units
Concessions,(Credits Issued),,,0 - 6 Months,129,,,< 0%,104
Rent,"2,250.00","2,519.00","3,753.42",6 - 12 Months,84,,,0 - 15%,100
Rent (Bad Debt),0,0,0,12 - 18 Months,4,,,15 - 30%,9
Late Fees,0,252.6,"1,063.25",18 - 24 Months,0,,,30 - 50%,2
Taxes,0,0,0.00,> 24 Months,0,,,> 50%,2
Other,0,303,"1,281.84",Total,217,,,Total,217
Total,"2,250.00","3,074.60","6,098.51"
Discounts,(Variances from standard rates.),,,Owners' Alert,,,Total,Tenants
Rent (Expiring),0,"1,842.54","18,555.41",Standard rates unchanged > 360 days,,,14,Occupied,217
Rent (Non-Expiring),0,126,234.50,Tenants rates unchanged > 360 days,,,4,Insurance,0,0%
,,,,Days with payments and no daily close,,,0,ACH Billed,1,0%
Bad Debts,126,"3,131.00","19,358.52",Backdated payments,,,0
,,,,,,,,Credit Card,138,64%
Activity,,,,Backdated charges,,,0,Paid Online,33,15%
,,,,Deleted payments,,,1
Move-Ins,1,23,179
Insurance,0,0,0,Deleted charges,,,11
Move-Outs,1,17,130,Deleted units,,,0,Insurance
Transfers,0,6,22,Unit size changes,,,4,Premiums,,0
Rented Area Increase,0,"-5,250","-4,073",Program defaults changes,,,2,Coverage,,0
Collection Notes,0,59,464,Report Explanation
Auctions,0,0,0,(*) Vacancies do not include unrentable units.
Leads,,,,,(**) Reported values reflect the current tenant status.
SpareFoot Leads,0,0,32,,(1) Gross Pot. Rent = sum of Std.Rental Rates as of the report date
Phone Leads,0,11,40,,(2) Actual Occ Rate = sum of actual rental rates for occupied units
Web Leads,0,11,93,,(3) Effective Rate = Actual Occupied Rate - Credits Issued (Rent) -
Walk-In Leads,1,7,57,,- Expiring Discounts
Leads Converted,1,20,165,,(4) Leads Converted is a count of unique tenant move-ins
